Tenure,MonthlyCharges,ContractType,PaymentMethod,CustomerSupportCalls,Churn
44,86.55,Monthly,Electronic Check,1,No
13,147.96,One year,Credit Card,8,No
72,25.71,Monthly,Electronic Check,0,No
72,127.89,Two years,Electronic Check,2,No
46,65.69,Monthly,Direct Debit,2,Yes
52,65.62,Two years,Credit Card,10,No
51,71.11,Monthly,Electronic Check,10,Yes
47,78.67,Two years,Credit Card,2,No
47,109.12,One year,Electronic Check,5,Yes
67,82.7,Two years,Bank Transfer,2,No
33,62.68,Monthly,Electronic Check,5,No
41,61.69,One year,Bank Transfer,2,Yes
31,53.52,One year,Direct Debit,7,Yes
49,28.75,One year,Bank Transfer,1,No
69,123.96,Two years,Bank Transfer,7,No
59,59.03,One year,Electronic Check,8,No
47,85.53,One year,Electronic Check,4,No
68,94.85,Monthly,Credit Card,10,Yes
46,34.44,Monthly,Bank Transfer,10,No
20,52.73,Two years,Direct Debit,1,No
40,45.48,Monthly,Credit Card,5,No
62,32.92,Monthly,Bank Transfer,5,No
56,58.02,Monthly,Direct Debit,0,No
53,123.19,Monthly,Bank Transfer,0,No
20,65.01,Monthly,Credit Card,8,No
28,51.28,One year,Direct Debit,5,No
18,139.47,Two years,Direct Debit,4,No
70,25.42,Monthly,Credit Card,2,No
47,142.23,Monthly,Electronic Check,4,No
8,144.24,Monthly,Credit Card,7,No
42,50.13,One year,Bank Transfer,2,No
61,82.21,Monthly,Bank Transfer,3,No
20,128.92,Monthly,Direct Debit,6,No
24,92.38,One year,Electronic Check,8,Yes
12,80.45,One year,Credit Card,0,No
53,136.21,Two years,Credit Card,9,No
39,54.47,Two years,Credit Card,8,No
66,69.76,Monthly,Electronic Check,10,Yes
10,148.33,Two years,Credit Card,10,Yes
43,85.71,Two years,Bank Transfer,4,No
21,54.52,Two years,Electronic Check,3,Yes
59,79.42,One year,Direct Debit,0,Yes
39,112.67,One year,Electronic Check,2,No
34,108.84,One year,Direct Debit,8,Yes
29,70.25,One year,Direct Debit,4,Yes
20,55.53,One year,Bank Transfer,7,Yes
53,100.95,One year,Direct Debit,6,No
43,124.88,Two years,Direct Debit,0,Yes
40,132.62,Monthly,Credit Card,2,No
34,79.53,Monthly,Credit Card,4,No
47,71.41,One year,Bank Transfer,2,No
36,139.86,One year,Credit Card,4,No
16,132.99,Monthly,Bank Transfer,2,No
38,125.27,Two years,Credit Card,7,No
24,133.25,One year,Credit Card,6,No
46,99.5,One year,Credit Card,9,No
59,94.44,Monthly,Credit Card,9,No
72,132.29,Monthly,Credit Card,8,Yes
23,148.37,Monthly,Electronic Check,4,No
39,62.44,Monthly,Electronic Check,5,Yes
39,71.69,Two years,Direct Debit,6,No
62,87.91,Two years,Electronic Check,7,No
58,53.14,Two years,Electronic Check,10,No
65,46.12,One year,Bank Transfer,7,No
40,65.6,Two years,Credit Card,7,No
58,107.53,Two years,Direct Debit,4,No
33,34.33,One year,Credit Card,9,No
14,33.49,Two years,Direct Debit,5,No
62,68.14,Monthly,Direct Debit,5,No
31,89.79,Monthly,Electronic Check,8,Yes
12,104.39,Two years,Direct Debit,6,No
72,30.0,Two years,Electronic Check,6,No
25,22.17,One year,Bank Transfer,8,No
35,76.89,Two years,Electronic Check,5,No
46,104.75,Two years,Direct Debit,3,No
69,80.25,One year,Electronic Check,4,No
30,61.63,Monthly,Bank Transfer,0,Yes
29,36.61,One year,Direct Debit,10,Yes
6,126.07,One year,Electronic Check,10,No
65,120.66,Two years,Credit Card,2,No
67,86.03,Monthly,Direct Debit,5,Yes
43,27.17,One year,Direct Debit,6,Yes
22,140.49,Two years,Direct Debit,3,No
40,76.94,One year,Direct Debit,3,No
62,115.22,Monthly,Bank Transfer,8,No
20,64.6,One year,Direct Debit,0,No
60,140.25,Two years,Direct Debit,1,Yes
27,26.08,One year,Credit Card,5,No
10,22.39,Monthly,Bank Transfer,1,No
43,29.34,One year,Direct Debit,5,No
37,41.85,One year,Electronic Check,6,Yes
65,128.47,Monthly,Credit Card,4,No
42,105.35,One year,Direct Debit,9,No
57,33.25,Two years,Credit Card,1,No
67,20.13,One year,Direct Debit,8,Yes
69,85.23,One year,Electronic Check,8,No
58,93.28,Two years,Electronic Check,7,No
50,74.82,Monthly,Electronic Check,9,Yes
60,35.71,Two years,Electronic Check,6,Yes
51,125.96,Monthly,Electronic Check,8,No
35,142.16,One year,Credit Card,1,No
46,54.06,One year,Direct Debit,4,Yes
47,116.0,Two years,Credit Card,0,No
16,33.66,Monthly,Electronic Check,2,Yes
23,77.13,Two years,Credit Card,3,No
11,40.84,Monthly,Credit Card,1,No
2,142.24,One year,Direct Debit,0,No
71,60.53,One year,Bank Transfer,4,Yes
10,106.57,One year,Direct Debit,1,No
60,39.23,Monthly,Credit Card,8,No
66,132.27,One year,Direct Debit,6,No
37,62.43,One year,Credit Card,8,No
44,38.87,One year,Electronic Check,7,No
38,67.15,Monthly,Direct Debit,6,No
10,147.43,Two years,Credit Card,3,Yes
62,112.47,Monthly,Electronic Check,6,No
68,138.35,Two years,Credit Card,10,No
61,58.4,Two years,Bank Transfer,6,No
9,21.46,Two years,Bank Transfer,6,No
47,122.25,One year,Direct Debit,6,No
60,54.82,One year,Bank Transfer,1,No
23,102.6,One year,Credit Card,10,No
18,92.59,Monthly,Credit Card,8,No
50,91.27,Two years,Bank Transfer,7,No
6,104.04,Monthly,Direct Debit,6,No
11,68.79,One year,Bank Transfer,7,Yes
23,52.05,Monthly,Bank Transfer,9,No
6,52.04,Two years,Direct Debit,10,No
22,24.72,One year,Bank Transfer,10,No
32,79.15,One year,Direct Debit,9,No
56,125.93,Monthly,Credit Card,0,No
25,124.15,Two years,Direct Debit,3,No
22,123.39,Monthly,Direct Debit,1,No
71,91.47,One year,Bank Transfer,1,No
31,22.98,Monthly,Direct Debit,2,No
25,40.55,One year,Direct Debit,10,No
55,106.74,Two years,Bank Transfer,1,No
45,128.76,Monthly,Bank Transfer,7,No
33,83.1,One year,Bank Transfer,3,No
72,68.71,Two years,Direct Debit,10,Yes
20,105.35,Two years,Credit Card,6,No
67,38.13,One year,Credit Card,6,No
33,114.44,One year,Bank Transfer,7,Yes
50,119.55,Monthly,Bank Transfer,9,No
17,21.45,One year,Electronic Check,4,No
53,59.05,Monthly,Direct Debit,8,No
1,93.24,Two years,Electronic Check,4,Yes
54,85.59,Monthly,Credit Card,8,No
49,124.38,One year,Credit Card,1,No
31,112.53,One year,Electronic Check,4,No
14,146.75,Monthly,Credit Card,4,No
37,115.0,One year,Direct Debit,6,No
1,72.01,One year,Bank Transfer,1,No
24,84.85,Monthly,Bank Transfer,7,No
15,43.59,One year,Credit Card,2,Yes
55,43.02,One year,Direct Debit,9,Yes
17,134.34,Monthly,Electronic Check,5,No
9,131.3,Two years,Direct Debit,3,No
68,123.84,One year,Electronic Check,7,Yes
36,131.42,Monthly,Credit Card,8,No
29,102.49,One year,Bank Transfer,2,No
14,67.55,Monthly,Bank Transfer,9,No
57,115.56,One year,Direct Debit,9,No
61,56.57,Two years,Direct Debit,7,Yes
52,80.56,One year,Credit Card,9,No
57,32.43,Two years,Credit Card,8,Yes
3,133.69,Two years,Electronic Check,0,No
49,81.31,One year,Bank Transfer,9,No
6,64.09,Two years,Direct Debit,8,No
1,75.81,Monthly,Electronic Check,4,No
59,72.43,One year,Direct Debit,0,No
43,46.56,Monthly,Bank Transfer,10,Yes
40,33.19,One year,Bank Transfer,2,Yes
71,111.54,Two years,Electronic Check,6,Yes
22,47.98,Two years,Direct Debit,0,No
60,20.18,Monthly,Electronic Check,9,No
19,127.29,One year,Electronic Check,7,No
39,70.16,One year,Bank Transfer,2,No
68,36.97,Two years,Bank Transfer,0,No
65,129.01,Monthly,Direct Debit,6,No
54,53.49,Monthly,Electronic Check,7,No
34,46.27,Monthly,Credit Card,10,No
4,24.48,One year,Electronic Check,1,No
63,123.95,One year,Credit Card,6,No
45,69.82,Monthly,Direct Debit,9,Yes
50,76.56,Two years,Electronic Check,4,No
55,78.37,Two years,Electronic Check,2,No
10,33.37,Monthly,Credit Card,8,No
58,60.9,Monthly,Bank Transfer,3,No
16,48.98,Two years,Bank Transfer,9,No
22,75.65,Two years,Credit Card,3,No
20,111.2,One year,Electronic Check,3,No
25,134.9,One year,Electronic Check,4,No
38,113.16,Two years,Direct Debit,9,No
59,22.31,Two years,Electronic Check,0,No
64,53.61,Two years,Direct Debit,10,No
38,115.08,Two years,Bank Transfer,1,No
68,110.67,Two years,Credit Card,0,No
1,29.58,Two years,Electronic Check,9,No
69,56.2,Monthly,Bank Transfer,0,No
10,20.93,One year,Bank Transfer,2,No
28,45.88,One year,Electronic Check,7,No
62,115.73,One year,Bank Transfer,0,No
49,111.23,Two years,Bank Transfer,6,No
21,68.02,Monthly,Direct Debit,7,Yes
9,40.59,Monthly,Credit Card,6,No
19,147.61,Monthly,Direct Debit,3,Yes
43,140.41,One year,Bank Transfer,9,No
46,106.33,Monthly,Credit Card,9,Yes
29,81.26,Monthly,Credit Card,10,Yes
66,105.16,Monthly,Credit Card,4,No
55,71.59,Two years,Credit Card,5,Yes
56,114.03,One year,Credit Card,10,No
60,69.96,Monthly,Bank Transfer,8,No
16,74.54,One year,Direct Debit,6,No
8,112.75,Monthly,Credit Card,1,No
25,95.13,One year,Credit Card,9,No
15,139.26,Monthly,Bank Transfer,0,No
71,126.66,Monthly,Bank Transfer,6,Yes
55,136.35,Monthly,Credit Card,0,No
31,80.35,Two years,Bank Transfer,7,Yes
28,39.26,Two years,Direct Debit,0,Yes
46,32.34,Two years,Bank Transfer,4,Yes
72,25.0,Two years,Direct Debit,8,No
57,133.1,One year,Credit Card,0,Yes
37,102.45,One year,Direct Debit,9,Yes
59,29.48,Two years,Direct Debit,1,Yes
39,145.69,Monthly,Bank Transfer,6,No
7,43.33,Two years,Bank Transfer,5,Yes
44,31.13,Two years,Electronic Check,7,Yes
8,43.4,One year,Electronic Check,4,No
21,21.9,Two years,Bank Transfer,6,No
31,116.27,One year,Bank Transfer,5,No
20,76.18,Two years,Credit Card,9,No
43,148.49,Monthly,Direct Debit,7,No
12,138.68,Two years,Direct Debit,4,Yes
22,112.99,Monthly,Bank Transfer,0,Yes
1,52.66,Monthly,Electronic Check,3,No
18,27.43,One year,Direct Debit,3,No
21,111.97,Monthly,Electronic Check,0,No
43,63.68,Two years,Electronic Check,9,Yes
58,78.54,Two years,Direct Debit,8,No
1,135.06,Monthly,Direct Debit,3,No
72,54.29,Two years,Direct Debit,0,Yes
70,73.05,Two years,Direct Debit,4,No
58,144.17,Monthly,Bank Transfer,10,No
26,41.53,Monthly,Direct Debit,3,Yes
55,120.03,One year,Bank Transfer,10,Yes
52,124.63,Two years,Electronic Check,3,Yes
60,148.46,One year,Credit Card,0,No
48,117.59,Two years,Electronic Check,7,No
67,38.98,Monthly,Electronic Check,9,No
27,45.48,Two years,Credit Card,7,Yes
36,88.02,Two years,Credit Card,2,No
24,106.17,One year,Bank Transfer,9,No
72,28.96,Two years,Direct Debit,9,Yes
37,31.03,One year,Bank Transfer,10,Yes
16,105.24,One year,Bank Transfer,8,No
15,41.04,Two years,Electronic Check,0,No
56,87.27,Two years,Electronic Check,1,No
2,64.86,Two years,Bank Transfer,4,No
25,56.39,Monthly,Direct Debit,1,No
55,67.27,Two years,Credit Card,3,No
1,73.7,One year,Electronic Check,0,No
36,25.25,Two years,Credit Card,7,No
32,44.26,Monthly,Electronic Check,3,Yes
11,124.98,One year,Electronic Check,1,Yes
23,31.2,One year,Credit Card,6,No
56,76.66,Two years,Credit Card,10,No
57,88.18,One year,Direct Debit,4,No
11,29.52,One year,Credit Card,9,No
4,77.68,One year,Electronic Check,2,No
14,68.68,One year,Electronic Check,9,No
72,55.65,One year,Credit Card,3,Yes
5,27.62,One year,Direct Debit,5,No
68,68.85,One year,Credit Card,0,No
31,104.76,Monthly,Electronic Check,6,No
56,108.99,Monthly,Credit Card,1,No
43,112.96,Monthly,Electronic Check,4,No
9,98.08,Monthly,Bank Transfer,5,No
60,106.81,One year,Credit Card,1,Yes
32,82.85,Monthly,Electronic Check,6,No
58,97.41,Two years,Credit Card,3,No
27,86.93,Monthly,Direct Debit,2,No
69,121.13,Monthly,Direct Debit,5,No
8,26.74,Monthly,Credit Card,1,Yes
7,27.1,One year,Direct Debit,9,Yes
20,75.01,Two years,Direct Debit,3,No
19,41.45,Two years,Credit Card,0,Yes
37,125.16,Monthly,Credit Card,8,No
11,105.71,Two years,Electronic Check,2,No
69,83.04,Monthly,Electronic Check,0,Yes
71,36.29,Monthly,Direct Debit,7,No
20,95.21,One year,Credit Card,5,No
62,62.19,Monthly,Direct Debit,1,Yes
54,68.94,Two years,Bank Transfer,3,No
35,47.92,Monthly,Bank Transfer,2,No
23,130.75,Two years,Electronic Check,6,No
58,69.93,Two years,Direct Debit,4,No
41,58.45,One year,Bank Transfer,0,Yes
17,124.87,Two years,Credit Card,2,No
63,125.01,Two years,Direct Debit,1,Yes
39,20.4,Two years,Bank Transfer,5,Yes
54,108.13,Monthly,Bank Transfer,2,No
21,76.8,One year,Bank Transfer,9,No
62,138.78,Monthly,Direct Debit,10,No
3,119.73,Two years,Direct Debit,1,Yes
15,134.23,Two years,Credit Card,9,No
2,28.11,Two years,Electronic Check,7,No
67,46.75,One year,Direct Debit,0,No
66,84.38,Monthly,Electronic Check,1,Yes
39,90.84,Monthly,Direct Debit,1,Yes
47,86.24,One year,Bank Transfer,5,No
9,24.49,Two years,Credit Card,10,No
17,129.05,Two years,Bank Transfer,5,No
16,109.14,Two years,Credit Card,0,No
12,116.67,One year,Bank Transfer,1,No
33,76.01,Monthly,Direct Debit,10,No
28,77.04,Monthly,Bank Transfer,8,No
22,93.57,Monthly,Credit Card,3,Yes
59,130.48,One year,Direct Debit,4,No
32,130.14,Two years,Bank Transfer,1,No
71,42.9,One year,Direct Debit,10,No
11,33.17,One year,Credit Card,5,No
54,144.56,Two years,Bank Transfer,7,No
55,103.27,Monthly,Credit Card,8,Yes
25,44.57,Monthly,Bank Transfer,2,No
29,121.05,Two years,Direct Debit,4,No
57,102.48,Two years,Bank Transfer,2,No
26,88.0,One year,Bank Transfer,9,Yes
24,32.79,Two years,Direct Debit,8,No
54,136.37,One year,Credit Card,10,No
21,25.68,Two years,Credit Card,4,No
11,97.8,One year,Electronic Check,7,No
13,87.99,Two years,Bank Transfer,1,No
51,29.26,One year,Bank Transfer,8,No
24,32.71,Monthly,Direct Debit,5,Yes
46,20.33,One year,Electronic Check,3,No
54,107.72,Monthly,Bank Transfer,10,No
59,79.01,One year,Bank Transfer,4,No
43,86.19,Two years,Credit Card,5,No
53,84.84,One year,Bank Transfer,7,No
65,82.6,Monthly,Credit Card,2,No
72,71.61,One year,Electronic Check,0,No
4,46.1,Monthly,Direct Debit,6,Yes
13,105.02,Monthly,Direct Debit,7,Yes
47,81.09,One year,Credit Card,8,No
40,103.88,Monthly,Bank Transfer,10,Yes
52,79.91,Two years,Bank Transfer,9,Yes
21,86.3,Two years,Bank Transfer,8,No
67,132.15,Two years,Electronic Check,0,No
38,75.47,Two years,Credit Card,5,No
17,102.44,One year,Bank Transfer,9,No
17,38.33,Two years,Bank Transfer,0,No
65,142.68,Monthly,Electronic Check,2,No
50,48.41,Monthly,Electronic Check,4,No
22,64.81,Monthly,Electronic Check,4,No
67,31.92,Monthly,Electronic Check,5,No
23,81.76,One year,Electronic Check,2,Yes
1,69.39,Monthly,Direct Debit,2,No
64,134.23,Two years,Direct Debit,3,Yes
12,148.29,Monthly,Electronic Check,5,Yes
16,34.54,One year,Direct Debit,5,No
24,137.85,Two years,Direct Debit,7,Yes
18,102.69,One year,Credit Card,3,No
4,121.28,Monthly,Direct Debit,9,No
7,113.28,Monthly,Bank Transfer,9,No
27,61.05,One year,Direct Debit,4,No
32,91.44,Two years,Electronic Check,7,No
32,110.31,One year,Electronic Check,1,No
27,126.19,Monthly,Direct Debit,7,No
24,63.63,Monthly,Electronic Check,7,Yes
49,83.67,Two years,Direct Debit,4,No
51,120.19,Monthly,Electronic Check,2,No
19,91.56,One year,Electronic Check,3,Yes
56,42.58,Monthly,Direct Debit,9,No
70,143.57,One year,Direct Debit,7,No
5,20.59,Monthly,Bank Transfer,6,Yes
43,99.09,One year,Electronic Check,10,No
68,97.55,One year,Bank Transfer,10,No
66,68.05,Monthly,Electronic Check,2,No
46,129.08,Two years,Credit Card,1,No
24,101.48,One year,Bank Transfer,6,No
32,82.9,Monthly,Electronic Check,4,Yes
8,93.09,Monthly,Bank Transfer,7,No
62,46.01,One year,Electronic Check,5,No
4,135.95,Two years,Bank Transfer,2,Yes
40,132.56,Monthly,Electronic Check,5,No
40,105.52,One year,Electronic Check,7,No
24,70.56,Monthly,Direct Debit,2,No
33,30.29,Two years,Credit Card,9,No
19,116.47,Monthly,Direct Debit,8,No
30,106.26,One year,Electronic Check,2,Yes
46,34.28,Monthly,Credit Card,7,Yes
9,98.41,One year,Bank Transfer,2,No
42,39.5,One year,Direct Debit,9,No
28,60.42,Monthly,Credit Card,8,No
68,69.13,One year,Direct Debit,7,No
58,40.78,Monthly,Bank Transfer,0,No
60,133.53,Two years,Credit Card,10,No
10,141.29,One year,Credit Card,10,No
2,143.68,Monthly,Direct Debit,5,No
19,62.91,One year,Direct Debit,3,No
23,26.49,Two years,Direct Debit,0,No
9,57.49,Two years,Bank Transfer,9,No
41,132.75,One year,Credit Card,2,No
1,32.13,Two years,Electronic Check,5,No
11,81.3,Two years,Direct Debit,10,Yes
46,121.55,One year,Electronic Check,9,No
27,123.15,Two years,Bank Transfer,4,No
28,66.98,Two years,Bank Transfer,10,Yes
62,27.44,Two years,Electronic Check,9,No
8,25.19,Two years,Credit Card,1,Yes
42,91.84,Two years,Electronic Check,1,No
55,119.47,One year,Electronic Check,6,No
66,127.29,Monthly,Credit Card,5,No
51,140.0,One year,Credit Card,6,No
